Data;Area desmatada;uf;municipio
24/09/2022;2.5;PA;Sao Felix do Xingu
23/08/2020;0.12;AC;Rio Branco
16/02/2018;0.73;MA;Amarante do Maranhao
22/09/2021;0.07;PA;Altamira
24/08/2019;0.08;PA;Trairao
22/01/2019;1.13;MT;Feliz Natal
09/10/2016;0.15;MT;Novo Santo Antonio
16/02/2018;1.28;PA;Moju
16/02/2018;0.9;PA;Moju
23/08/2020;0.11;AM;Boca do Acre
16/02/2018;0.12;PA;Moju
27/02/2018;0.54;PA;Senador Jose Porfirio
16/02/2018;0.16;PA;Paragominas
16/02/2018;0.35;PA;Ipixuna do Para
16/02/2018;0.81;PA;Ipixuna do Para
03/10/2021;0.07;PA;Prainha
24/09/2022;2.2;MT;Guaranta do Norte
03/10/2021;0.12;PA;Monte Alegre
16/02/2018;1.14;MA;Bom Jesus das Selvas
09/10/2016;0.47;MT;Querencia
22/01/2019;0.09;MT;Sao Jose do Rio Claro
16/02/2018;0.6;MA;Amarante do Maranhao
16/02/2018;0.42;MA;Amarante do Maranhao
23/08/2020;0.13;AM;Boca do Acre
16/02/2018;3.59;PA;Ipixuna do Para
16/02/2018;0.19;MA;Amarante do Maranhao
16/02/2018;0.42;MA;Amarante do Maranhao
27/02/2018;0.28;PA;Senador Jose Porfirio
16/02/2018;1.18;MA;Amarante do Maranhao
24/09/2022;0.73;PA;Sao Felix do Xingu
16/02/2018;0.08;MA;Bom Jesus das Selvas
29/08/2020;0.09;AC;Sena Madureira
24/08/2019;0.08;PA;Trairao
22/01/2019;0.28;MT;Feliz Natal
16/02/2018;0.81;PA;Moju
03/10/2021;0.08;PA;Portel
23/08/2020;0.12;AC;Porto Acre
16/02/2018;2.42;PA;Moju
23/08/2020;0.07;AC;Porto Acre
16/02/2018;1.33;PA;Moju
27/02/2018;0.49;PA;Senador Jose Porfirio
23/08/2020;0.07;AC;Xapuri
03/10/2021;0.12;PA;Monte Alegre
16/02/2018;1.09;MA;Bom Jesus das Selvas
24/09/2022;0.54;PA;Sao Felix do Xingu
16/02/2018;1.01;PA;Moju
03/10/2021;0.22;PA;Senador Jose Porfirio
14/08/2019;0.09;RO;Monte Negro
22/09/2021;0.58;PA;Itaituba
24/08/2019;0.1;PA;Trairao
18/03/2019;1.08;MT;Canarana
16/02/2018;0.23;PA;Nova Esperança do Piria
16/02/2018;4.72;MA;Bom Jesus das Selvas
16/02/2018;0.25;PA;Moju
03/10/2021;0.4;PA;Senador Jose Porfirio
16/02/2018;0.17;MA;Buriticupu
16/02/2018;0.24;MA;Buriticupu
16/02/2018;0.13;MA;Buriticupu
23/08/2020;0.1;AM;Boca do Acre
16/02/2018;0.13;MA;Buriticupu
16/02/2018;0.12;MA;Buriticupu
24/09/2022;0.13;PA;Sao Felix do Xingu
16/02/2018;0.09;MA;Buriticupu
24/08/2019;0.08;PA;Trairao
22/09/2021;0.14;PA;Trairao
22/01/2019;0.58;MT;Feliz Natal
09/10/2016;0.41;MT;Novo Santo Antonio
16/02/2018;0.1;MA;Buriticupu
23/08/2020;0.08;AM;Boca do Acre
16/02/2018;0.6;PA;Moju
03/10/2021;0.09;PA;Uruara
03/10/2021;0.28;PA;Anapu
16/02/2018;0.09;MA;Rosario
24/08/2019;0.08;PA;Trairao
09/10/2016;0.11;MT;Novo Santo Antonio
03/10/2021;0.19;PA;Prainha
16/02/2018;0.09;MA;Centro Novo do Maranhao
16/02/2018;2.38;PA;Moju
23/08/2020;0.14;AM;Boca do Acre
16/02/2018;0.1;PA;Moju
23/08/2020;0.07;AM;Boca do Acre
16/02/2018;0.43;PA;Moju
16/02/2018;0.14;MA;Bom Jesus das Selvas
24/09/2022;2.05;PA;Sao Felix do Xingu
03/10/2021;0.07;PA;Senador Jose Porfirio
29/08/2020;0.07;AC;Assis Brasil
22/09/2021;1.18;PA;Novo Progresso
24/08/2019;0.08;PA;Placas
09/10/2016;2.39;MT;Gaucha do Norte
22/01/2019;0.32;MT;Querencia
16/02/2018;1.67;PA;Moju
16/02/2018;1.27;PA;Moju
16/02/2018;0.16;PA;Moju
03/10/2021;0.09;PA;Senador Jose Porfirio
16/02/2018;0.18;PA;Moju
16/02/2018;1.26;PA;Moju
16/02/2018;0.86;PA;Moju
23/08/2020;0.09;AC;Rio Branco
16/02/2018;0.11;PA;Salinopolis
24/09/2022;0.17;PA;Sao Felix do Xingu
29/08/2020;0.08;AC;Rio Branco
22/09/2021;0.18;PA;Trairao
22/01/2019;0.16;MT;Brasnorte
03/10/2021;0.21;PA;Senador Jose Porfirio
16/02/2018;1.21;PA;Moju
10/01/2019;1.1;RO;Vilhena
02/08/2019;0.08;AM;Labrea
04/08/2020;0.07;PA;Itaituba
06/08/2021;1.28;MT;Nova Bandeirantes
24/09/2022;0.1;PA;Sao Felix do Xingu
16/02/2018;0.66;PA;Moju
14/08/2019;0.01;RO;Buritis
22/09/2021;0.11;PA;Itaituba
24/08/2019;0.09;PA;Placas
22/01/2019;0.29;MT;Brasnorte
09/10/2016;0.21;MT;Novo Santo Antonio
23/08/2020;0.13;AM;Boca do Acre
16/02/2018;0.07;MA;Itapecuru Mirim
16/02/2018;0.14;MA;Itapecuru Mirim
03/10/2021;0.12;RO;Colorado do Oeste
03/10/2021;0.1;RO;Chupinguaia
16/02/2018;0.08;MA;Santa Rita
03/10/2021;0.1;RO;Chupinguaia
16/02/2018;0.18;MA;Santa Rita
16/02/2018;0.09;PA;Cachoeira do Piria
03/10/2021;0.08;PA;Senador Jose Porfirio
24/09/2022;0.41;PA;Sao Felix do Xingu
29/08/2020;0.09;AC;Sena Madureira
24/08/2019;0.13;PA;Itaituba
09/10/2016;0.46;MT;Gaucha do Norte
22/01/2019;0.13;MT;Santa Carmem
23/08/2020;0.07;AM;Boca do Acre
16/02/2018;0.2;MA;Santa Rita
16/02/2018;0.77;MA;Rosario
16/02/2018;0.19;MA;Rosario
19/02/2018;0.3;MA;Amarante do Maranhao
16/02/2018;0.1;MA;Rosario
16/02/2018;0.38;MA;Santa Rita
03/10/2021;0.16;MT;Vale de Sao Domingos
24/09/2022;0.11;PA;Sao Felix do Xingu
16/02/2018;0.1;MA;Rosario
14/08/2019;0.19;RO;Monte Negro
29/08/2020;0.12;AC;Manoel Urbano
24/08/2019;0.17;PA;Placas
22/09/2021;0.36;PA;Ruropolis
22/01/2019;0.14;MT;Querencia
27/02/2018;0.14;PA;Anapu
